,fips,province_state,country_region,confirmed,deaths,recovered,active,date,positive,negative,hospitalizedCurrently,hospitalized,hospitalizedDischarged
29,,Tianjin,China,4.0,,,,20210119,289939,,1066.0,,
30,,Tibet,China,,,,,20210119,289939,,1066.0,,
31,,Washington,US,1.0,,,,20210119,289939,,1066.0,,
32,,Xinjiang,China,,,,,20210119,289939,,1066.0,,
33,,Yun,China,1.0,,,,20210119,289939,,1066.0,,
34,,Zhejiang,China,10.0,,,,20210119,289939,,1066.0,,
35,,,Japan,2.0,,,,20210119,289939,,1066.0,,
36,,,Thailand,2.0,,,,20210119,289939,,1066.0,,
37,,,South Korea,1.0,,,,20210119,289939,,1066.0,,
38,,Anhui,China,9.0,,,,20210119,289939,,1066.0,,
39,,Beijing,China,22.0,,,,20210119,289939,,1066.0,,
40,,Chongqing,China,9.0,,,,20210119,289939,,1066.0,,
41,,Fujian,China,5.0,,,,20210119,289939,,1066.0,,
42,,Gansu,China,2.0,,,,20210119,289939,,1066.0,,
43,,Guangdong,China,32.0,,2.0,,20210119,289939,,1066.0,,
44,,Guangxi,China,5.0,,,,20210119,289939,,1066.0,,
45,,Guizhou,China,3.0,,,,20210119,289939,,1066.0,,
46,,Hai,China,5.0,,,,20210119,289939,,1066.0,,
47,,Hebei,China,1.0,1.0,,,20210119,289939,,1066.0,,
48,,Heilongjiang,China,2.0,,,,20210119,289939,,1066.0,,
49,,He,China,5.0,,,,20210119,289939,,1066.0,,
50,,Hong Kong,Hong Kong,2.0,,,,20210119,289939,,1066.0,,
51,,Hubei,China,444.0,17.0,28.0,,20210119,289939,,1066.0,,
52,,Hu,China,9.0,,,,20210119,289939,,1066.0,,
53,,Inner Mongolia,China,,,,,20210119,289939,,1066.0,,
54,,Jiangsu,China,5.0,,,,20210119,289939,,1066.0,,
55,,Jiangxi,China,7.0,,,,20210119,289939,,1066.0,,
56,,Jilin,China,1.0,,,,20210119,289939,,1066.0,,
57,,Liaoning,China,3.0,,,,20210119,289939,,1066.0,,
58,,Macau,Macau,2.0,,,,20210119,289939,,1066.0,,
59,,Ningxia,China,1.0,,,,20210119,289939,,1066.0,,
60,,Qinghai,China,,,,,20210119,289939,,1066.0,,
61,,Shaanxi,China,3.0,,,,20210119,289939,,1066.0,,
62,,Shandong,China,6.0,,,,20210119,289939,,1066.0,,
63,,Shanghai,China,16.0,,,,20210119,289939,,1066.0,,
64,,Shanxi,China,1.0,,,,20210119,289939,,1066.0,,
65,,Sichuan,China,8.0,,,,20210119,289939,,1066.0,,
66,,Taiwan,Taiwan,1.0,,,,20210119,289939,,1066.0,,
67,,Tianjin,China,4.0,,,,20210119,289939,,1066.0,,
68,,Tibet,China,,,,,20210119,289939,,1066.0,,
69,,Washington,US,1.0,,,,20210119,289939,,1066.0,,
70,,Xinjiang,China,2.0,,,,20210119,289939,,1066.0,,
71,,Yun,China,2.0,,,,20210119,289939,,1066.0,,
72,,Zhejiang,China,27.0,,,,20210119,289939,,1066.0,,
73,,,Japan,1.0,,,,20210119,289939,,1066.0,,
74,,,Thailand,3.0,,,,20210119,289939,,1066.0,,
75,,,South Korea,1.0,,,,20210119,289939,,1066.0,,
76,,,Singapore,1.0,,,,20210119,289939,,1066.0,,
77,,,Philippines,,,,,20210119,289939,,1066.0,,
78,,,Malaysia,,,,,20210119,289939,,1066.0,,
79,,,Vietnam,2.0,,,,20210119,289939,,1066.0,,
80,,,Australia,,,,,20210119,289939,,1066.0,,
81,,,Mexico,,,,,20210119,289939,,1066.0,,
82,,,Brazil,,,,,20210119,289939,,1066.0,,
83,,,Colombia,,,,,20210119,289939,,1066.0,,
84,,Hubei,China,549.0,24.0,31.0,,20210119,289939,,1066.0,,
85,,Guangdong,China,53.0,,2.0,,20210119,289939,,1066.0,,
86,,Zhejiang,China,43.0,,1.0,,20210119,289939,,1066.0,,
87,,Beijing,China,36.0,,1.0,,20210119,289939,,1066.0,,
88,,Chongqing,China,27.0,,,,20210119,289939,,1066.0,,
89,,Hu,China,24.0,,,,20210119,289939,,1066.0,,
90,,Guangxi,China,23.0,,,,20210119,289939,,1066.0,,
91,,Shanghai,China,20.0,,1.0,,20210119,289939,,1066.0,,
92,,Jiangxi,China,18.0,,,,20210119,289939,,1066.0,,
93,,Sichuan,China,15.0,,,,20210119,289939,,1066.0,,
94,,Shandong,China,15.0,,,,20210119,289939,,1066.0,,
95,,Anhui,China,15.0,,,,20210119,289939,,1066.0,,
96,,Fujian,China,10.0,,,,20210119,289939,,1066.0,,
97,,He,China,9.0,,,,20210119,289939,,1066.0,,
98,,Jiangsu,China,9.0,,,,20210119,289939,,1066.0,,
99,,Hai,China,8.0,,,,20210119,289939,,1066.0,,
100,,Tianjin,China,8.0,,,,20210119,289939,,1066.0,,
101,,Yun,China,5.0,,,,20210119,289939,,1066.0,,
102,,Shaanxi,China,5.0,,,,20210119,289939,,1066.0,,
103,,Heilongjiang,China,4.0,1.0,,,20210119,289939,,1066.0,,
104,,Liaoning,China,4.0,,,,20210119,289939,,1066.0,,
105,,Guizhou,China,3.0,,,,20210119,289939,,1066.0,,
106,,Jilin,China,3.0,,,,20210119,289939,,1066.0,,
107,,Taiwan,Taiwan,3.0,,,,20210119,289939,,1066.0,,
108,,Ningxia,China,2.0,,,,20210119,289939,,1066.0,,
109,,Hong Kong,Hong Kong,2.0,,,,20210119,289939,,1066.0,,
110,,Macau,Macau,2.0,,,,20210119,289939,,1066.0,,
111,,Hebei,China,2.0,1.0,,,20210119,289939,,1066.0,,
112,,Gansu,China,2.0,,,,20210119,289939,,1066.0,,
113,,Xinjiang,China,2.0,,,,20210119,289939,,1066.0,,
114,,Shanxi,China,1.0,,,,20210119,289939,,1066.0,,
115,,Inner Mongolia,China,1.0,,,,20210119,289939,,1066.0,,
116,,Qinghai,China,,,,,20210119,289939,,1066.0,,
117,,Washington,US,1.0,,,,20210119,289939,,1066.0,,
118,,Illinois,US,1.0,,,,20210119,289939,,1066.0,,
119,,,Japan,2.0,,,,20210119,289939,,1066.0,,
120,,,Thailand,5.0,,,,20210119,289939,,1066.0,,
121,,,South Korea,2.0,,,,20210119,289939,,1066.0,,
122,,,Singapore,3.0,,,,20210119,289939,,1066.0,,
123,,,Vietnam,2.0,,,,20210119,289939,,1066.0,,
124,,Hubei,China,761.0,40.0,32.0,,20210119,289939,,1066.0,,
125,,Guangdong,China,78.0,,2.0,,20210119,289939,,1066.0,,
126,,Zhejiang,China,62.0,,1.0,,20210119,289939,,1066.0,,
127,,Chongqing,China,57.0,,,,20210119,289939,,1066.0,,
128,,Hu,China,43.0,,,,20210119,289939,,1066.0,,
129,,Beijing,China,41.0,,2.0,,20210119,289939,,1066.0,,
130,,Anhui,China,39.0,,,,20210119,289939,,1066.0,,
131,,Shanghai,China,33.0,,1.0,,20210119,289939,,1066.0,,
132,,He,China,32.0,,,,20210119,289939,,1066.0,,
133,,Sichuan,China,28.0,,,,20210119,289939,,1066.0,,
134,,Shandong,China,27.0,,,,20210119,289939,,1066.0,,
135,,Guangxi,China,23.0,,,,20210119,289939,,1066.0,,
136,,Hai,China,19.0,,,,20210119,289939,,1066.0,,
137,,Jiangxi,China,18.0,,,,20210119,289939,,1066.0,,
138,,Fujian,China,18.0,,,,20210119,289939,,1066.0,,
139,,Jiangsu,China,18.0,,1.0,,20210119,289939,,1066.0,,
140,,Liaoning,China,17.0,,,,20210119,289939,,1066.0,,
141,,Shaanxi,China,15.0,,,,20210119,289939,,1066.0,,
142,,Yun,China,11.0,,,,20210119,289939,,1066.0,,
143,,Tianjin,China,10.0,,,,20210119,289939,,1066.0,,
144,,Heilongjiang,China,9.0,1.0,,,20210119,289939,,1066.0,,
145,,Hebei,China,8.0,1.0,,,20210119,289939,,1066.0,,
146,,Inner Mongolia,China,7.0,,,,20210119,289939,,1066.0,,
147,,Shanxi,China,6.0,,,,20210119,289939,,1066.0,,
148,,Hong Kong,Hong Kong,5.0,,,,20210119,289939,,1066.0,,
149,,Guizhou,China,4.0,,,,20210119,289939,,1066.0,,
150,,Jilin,China,4.0,,,,20210119,289939,,1066.0,,
151,,Gansu,China,4.0,,,,20210119,289939,,1066.0,,
152,,Ningxia,China,3.0,,,,20210119,289939,,1066.0,,
153,,Taiwan,Taiwan,3.0,,,,20210119,289939,,1066.0,,
154,,Xinjiang,China,3.0,,,,20210119,289939,,1066.0,,
155,,Macau,Macau,2.0,,,,20210119,289939,,1066.0,,
156,,Qinghai,China,1.0,,,,20210119,289939,,1066.0,,
157,,Washington,US,1.0,,,,20210119,289939,,1066.0,,
158,,Illinois,US,1.0,,,,20210119,289939,,1066.0,,
159,,,Japan,2.0,,,,20210119,289939,,1066.0,,
160,,,Thailand,7.0,,,,20210119,289939,,1066.0,,
161,,,South Korea,2.0,,,,20210119,289939,,1066.0,,
162,,,Singapore,3.0,,,,20210119,289939,,1066.0,,
163,,,Vietnam,2.0,,,,20210119,289939,,1066.0,,
164,,,Australia,4.0,,,,20210119,289939,,1066.0,,
165,,,Nepal,1.0,,,,20210119,289939,,1066.0,,
166,,,Malaysia,3.0,,,,20210119,289939,,1066.0,,
167,,Hubei,China,1058.0,52.0,42.0,,20210119,289939,,1066.0,,
168,,Guangdong,China,111.0,,2.0,,20210119,289939,,1066.0,,
169,,Zhejiang,China,104.0,,1.0,,20210119,289939,,1066.0,,
170,,He,China,83.0,1.0,,,20210119,289939,,1066.0,,
171,,Chongqing,China,75.0,,,,20210119,289939,,1066.0,,
172,,Hu,China,69.0,,,,20210119,289939,,1066.0,,
173,,Beijing,China,68.0,,2.0,,20210119,289939,,1066.0,,
174,,Anhui,China,60.0,,,,20210119,289939,,1066.0,,
175,,Shandong,China,46.0,,,,20210119,289939,,1066.0,,
176,,Sichuan,China,44.0,,,,20210119,289939,,1066.0,,
177,,Shanghai,China,40.0,1.0,1.0,,20210119,289939,,1066.0,,
178,,Guangxi,China,36.0,,,,20210119,289939,,1066.0,,
179,,Jiangxi,China,36.0,,,,20210119,289939,,1066.0,,
180,,Fujian,China,35.0,,,,20210119,289939,,1066.0,,
181,,Jiangsu,China,33.0,,1.0,,20210119,289939,,1066.0,,
182,,Hai,China,22.0,,,,20210119,289939,,1066.0,,
183,,Shaanxi,China,22.0,,,,20210119,289939,,1066.0,,
184,,Liaoning,China,21.0,,,,20210119,289939,,1066.0,,
185,,Yun,China,16.0,,,,20210119,289939,,1066.0,,
186,,Heilongjiang,China,15.0,1.0,,,20210119,289939,,1066.0,,
187,,Tianjin,China,14.0,,,,20210119,289939,,1066.0,,
188,,Hebei,China,13.0,1.0,,,20210119,289939,,1066.0,,
189,,Shanxi,China,9.0,,,,20210119,289939,,1066.0,,
190,,Hong Kong,Hong Kong,8.0,,,,20210119,289939,,1066.0,,
191,,Inner Mongolia,China,7.0,,,,20210119,289939,,1066.0,,
192,,Gansu,China,7.0,,,,20210119,289939,,1066.0,,
193,,Guizhou,China,5.0,,,,20210119,289939,,1066.0,,
194,,Macau,Macau,5.0,,,,20210119,289939,,1066.0,,
195,,Ningxia,China,4.0,,,,20210119,289939,,1066.0,,
196,,Jilin,China,4.0,,,,20210119,289939,,1066.0,,
197,,Taiwan,Taiwan,4.0,,,,20210119,289939,,1066.0,,
198,,Xinjiang,China,4.0,,,,20210119,289939,,1066.0,,
199,,Qinghai,China,1.0,,,,20210119,289939,,1066.0,,
200,,Washington,US,1.0,,,,20210119,289939,,1066.0,,
201,,Illinois,US,1.0,,,,20210119,289939,,1066.0,,
202,,California,US,2.0,,,,20210119,289939,,1066.0,,
203,,Arizona,US,1.0,,,,20210119,289939,,1066.0,,
204,,,Japan,4.0,,1.0,,20210119,289939,,1066.0,,
205,,,Thailand,8.0,,2.0,,20210119,289939,,1066.0,,
206,,,South Korea,3.0,,,,20210119,289939,,1066.0,,
207,,,Singapore,4.0,,,,20210119,289939,,1066.0,,
208,,,Vietnam,2.0,,,,20210119,289939,,1066.0,,
209,,,Australia,4.0,,,,20210119,289939,,1066.0,,
210,,,Nepal,1.0,,,,20210119,289939,,1066.0,,
211,,,Malaysia,4.0,,,,20210119,289939,,1066.0,,
212,,Ontario,Canada,1.0,,,,20210119,289939,,1066.0,,
213,,Hubei,China,1423.0,76.0,45.0,,20210119,289939,,1066.0,,
214,,Guangdong,China,151.0,,4.0,,20210119,289939,,1066.0,,
215,,Zhejiang,China,128.0,,1.0,,20210119,289939,,1066.0,,
216,,He,China,128.0,1.0,,,20210119,289939,,1066.0,,
217,,Chongqing,China,110.0,,,,20210119,289939,,1066.0,,
218,,Hu,China,100.0,,,,20210119,289939,,1066.0,,
219,,Beijing,China,80.0,1.0,2.0,,20210119,289939,,1066.0,,
220,,Shandong,China,75.0,,,,20210119,289939,,1066.0,,
221,,Jiangxi,China,72.0,,2.0,,20210119,289939,,1066.0,,
222,,Anhui,China,70.0,,,,20210119,289939,,1066.0,,
223,,Sichuan,China,69.0,,,,20210119,289939,,1066.0,,
224,,Fujian,China,59.0,,,,20210119,289939,,1066.0,,
225,,Shanghai,China,53.0,1.0,3.0,,20210119,289939,,1066.0,,
226,,Jiangsu,China,47.0,,1.0,,20210119,289939,,1066.0,,
227,,Guangxi,China,46.0,,,,20210119,289939,,1066.0,,
228,,Shaanxi,China,35.0,,,,20210119,289939,,1066.0,,
229,,Hai,China,33.0,1.0,,,20210119,289939,,1066.0,,
230,,Liaoning,China,27.0,,,,20210119,289939,,1066.0,,
231,,Yun,China,26.0,,,,20210119,289939,,1066.0,,
232,,Tianjin,China,23.0,,,,20210119,289939,,1066.0,,
233,,Heilongjiang,China,21.0,1.0,,,20210119,289939,,1066.0,,
234,,Hebei,China,18.0,1.0,,,20210119,289939,,1066.0,,
235,,Gansu,China,14.0,,,,20210119,289939,,1066.0,,
236,,Shanxi,China,13.0,,,,20210119,289939,,1066.0,,
237,,Inner Mongolia,China,11.0,,,,20210119,289939,,1066.0,,
238,,Hong Kong,Hong Kong,8.0,,,,20210119,289939,,1066.0,,
239,,Guizhou,China,7.0,,,,20210119,289939,,1066.0,,
240,,Ningxia,China,7.0,,,,20210119,289939,,1066.0,,
241,,Jilin,China,6.0,,,,20210119,289939,,1066.0,,
242,,Macau,Macau,6.0,,,,20210119,289939,,1066.0,,
243,,Qinghai,China,6.0,,,,20210119,289939,,1066.0,,
244,,Taiwan,Taiwan,5.0,,,,20210119,289939,,1066.0,,
245,,Xinjiang,China,5.0,,,,20210119,289939,,1066.0,,
246,,Washington,US,1.0,,,,20210119,289939,,1066.0,,
247,,Illinois,US,1.0,,,,20210119,289939,,1066.0,,
248,,California,US,2.0,,,,20210119,289939,,1066.0,,
249,,Arizona,US,1.0,,,,20210119,289939,,1066.0,,
250,,,Japan,4.0,,1.0,,20210119,289939,,1066.0,,
251,,,Thailand,8.0,,2.0,,20210119,289939,,1066.0,,
252,,,South Korea,4.0,,,,20210119,289939,,1066.0,,
253,,,Singapore,5.0,,,,20210119,289939,,1066.0,,
254,,,Vietnam,2.0,,,,20210119,289939,,1066.0,,
255,,,Nepal,1.0,,,,20210119,289939,,1066.0,,
256,,,Malaysia,4.0,,,,20210119,289939,,1066.0,,
257,,Ontario,Canada,1.0,,,,20210119,289939,,1066.0,,
258,,,Cambodia,1.0,,,,20210119,289939,,1066.0,,
259,,,Sri Lanka,1.0,,,,20210119,289939,,1066.0,,
260,,,Ivory Coast,1.0,,,,20210119,289939,,1066.0,,
261,,New South Wales,Australia,4.0,,,,20210119,289939,,1066.0,,
262,,Victoria,Australia,1.0,,,,20210119,289939,,1066.0,,
263,,Hubei,China,3554.0,125.0,80.0,,20210119,289939,,1066.0,,
264,,Guangdong,China,207.0,,4.0,,20210119,289939,,1066.0,,
265,,Zhejiang,China,173.0,,3.0,,20210119,289939,,1066.0,,
266,,He,China,168.0,1.0,,,20210119,289939,,1066.0,,
267,,Hu,China,143.0,,,,20210119,289939,,1066.0,,
268,,Chongqing,China,132.0,,,,20210119,289939,,1066.0,,
269,,Jiangxi,China,109.0,,3.0,,20210119,289939,,1066.0,,
270,,Anhui,China,106.0,,,,20210119,289939,,1066.0,,
271,,Shandong,China,95.0,,,,20210119,289939,,1066.0,,
272,,Beijing,China,91.0,1.0,4.0,,20210119,289939,,1066.0,,
273,,Sichuan,China,90.0,,,,20210119,289939,,1066.0,,
274,,Fujian,China,80.0,,,,20210119,289939,,1066.0,,
275,,Jiangsu,China,70.0,,1.0,,20210119,289939,,1066.0,,
276,,Shanghai,China,66.0,1.0,4.0,,20210119,289939,,1066.0,,
277,,Guangxi,China,51.0,,2.0,,20210119,289939,,1066.0,,
278,,Shaanxi,China,46.0,,,,20210119,289939,,1066.0,,
279,,Yun,China,44.0,,,,20210119,289939,,1066.0,,
280,,Hai,China,40.0,1.0,,,20210119,289939,,1066.0,,
281,,Liaoning,China,34.0,,,,20210119,289939,,1066.0,,
282,,Hebei,China,33.0,1.0,,,20210119,289939,,1066.0,,
283,,Heilongjiang,China,33.0,1.0,,,20210119,289939,,1066.0,,
284,,Shanxi,China,27.0,,,,20210119,289939,,1066.0,,
285,,Tianjin,China,24.0,,,,20210119,289939,,1066.0,,
286,,Gansu,China,19.0,,,,20210119,289939,,1066.0,,
287,,Inner Mongolia,China,15.0,,,,20210119,289939,,1066.0,,
288,,Ningxia,China,11.0,,,,20210119,289939,,1066.0,,
289,,Xinjiang,China,10.0,,,,20210119,289939,,1066.0,,
290,,Guizhou,China,9.0,,,,20210119,289939,,1066.0,,
291,,Jilin,China,8.0,,,,20210119,289939,,1066.0,,
292,,Taiwan,Taiwan,8.0,,,,20210119,289939,,1066.0,,
293,,Hong Kong,Hong Kong,8.0,,,,20210119,289939,,1066.0,,
294,,Macau,Macau,7.0,,,,20210119,289939,,1066.0,,
295,,Qinghai,China,6.0,,,,20210119,289939,,1066.0,,
296,,Washington,US,1.0,,,,20210119,289939,,1066.0,,
297,,Illinois,US,1.0,,,,20210119,289939,,1066.0,,
298,,California,US,2.0,,,,20210119,289939,,1066.0,,
299,,Arizona,US,1.0,,,,20210119,289939,,1066.0,,
300,,,Japan,7.0,,1.0,,20210119,289939,,1066.0,,
301,,,Thailand,14.0,,5.0,,20210119,289939,,1066.0,,
302,,,South Korea,4.0,,,,20210119,289939,,1066.0,,
303,,,Singapore,7.0,,,,20210119,289939,,1066.0,,
304,,,Vietnam,2.0,,,,20210119,289939,,1066.0,,
305,,,Nepal,1.0,,,,20210119,289939,,1066.0,,
306,,,Malaysia,4.0,,,,20210119,289939,,1066.0,,
307,,Ontario,Canada,1.0,,,,20210119,289939,,1066.0,,
308,,British Columbia,Canada,1.0,,,,20210119,289939,,1066.0,,
309,,,Cambodia,1.0,,,,20210119,289939,,1066.0,,
310,,,Sri Lanka,1.0,,,,20210119,289939,,1066.0,,
311,,New South Wales,Australia,4.0,,,,20210119,289939,,1066.0,,
312,,Victoria,Australia,1.0,,,,20210119,289939,,1066.0,,
313,,Bavaria,Germany,4.0,,,,20210119,289939,,1066.0,,
314,,Hubei,China,3554.0,125.0,88.0,,20210119,289939,,1066.0,,
315,,Zhejiang,China,296.0,,3.0,,20210119,289939,,1066.0,,
316,,Guangdong,China,277.0,,5.0,,20210119,289939,,1066.0,,
317,,Hu,China,221.0,,,,20210119,289939,,1066.0,,
318,,He,China,206.0,2.0,1.0,,20210119,289939,,1066.0,,
319,,Anhui,China,152.0,,2.0,,20210119,289939,,1066.0,,
320,,Chongqing,China,147.0,,1.0,,20210119,289939,,1066.0,,
321,,Shandong,China,130.0,,1.0,,20210119,289939,,1066.0,,
322,,Beijing,China,111.0,1.0,4.0,,20210119,289939,,1066.0,,
323,,Jiangxi,China,109.0,,3.0,,20210119,289939,,1066.0,,
324,,Sichuan,China,108.0,1.0,1.0,,20210119,289939,,1066.0,,
325,,Jiangsu,China,99.0,,1.0,,20210119,289939,,1066.0,,
326,,Shanghai,China,96.0,1.0,5.0,,20210119,289939,,1066.0,,
327,,Fujian,China,84.0,,,,20210119,289939,,1066.0,,
328,,Guangxi,China,58.0,,2.0,,20210119,289939,,1066.0,,
329,,Shaanxi,China,56.0,,,,20210119,289939,,1066.0,,
330,,Yun,China,55.0,,,,20210119,289939,,1066.0,,
331,,Hebei,China,48.0,1.0,,,20210119,289939,,1066.0,,
332,,Hai,China,43.0,1.0,,,20210119,289939,,1066.0,,
333,,Liaoning,China,39.0,,1.0,,20210119,289939,,1066.0,,
334,,Heilongjiang,China,38.0,1.0,,,20210119,289939,,1066.0,,
335,,Tianjin,China,27.0,,,,20210119,289939,,1066.0,,
336,,Shanxi,China,27.0,,1.0,,20210119,289939,,1066.0,,
337,,Gansu,China,24.0,,,,20210119,289939,,1066.0,,
338,,Inner Mongolia,China,16.0,,,,20210119,289939,,1066.0,,
339,,Xinjiang,China,13.0,,,,20210119,289939,,1066.0,,
340,,Ningxia,China,12.0,,,,20210119,289939,,1066.0,,
341,,Hong Kong,Hong Kong,10.0,,,,20210119,289939,,1066.0,,
342,,Guizhou,China,9.0,,1.0,,20210119,289939,,1066.0,,
343,,Jilin,China,9.0,,,,20210119,289939,,1066.0,,
344,,Taiwan,Taiwan,8.0,,,,20210119,289939,,1066.0,,
345,,Macau,Macau,7.0,,,,20210119,289939,,1066.0,,
346,,Qinghai,China,6.0,,,,20210119,289939,,1066.0,,
347,,Washington,US,1.0,,,,20210119,289939,,1066.0,,
348,,Illinois,US,1.0,,,,20210119,289939,,1066.0,,
349,,California,US,2.0,,,,20210119,289939,,1066.0,,
350,,Arizona,US,1.0,,,,20210119,289939,,1066.0,,
351,,,Japan,7.0,,1.0,,20210119,289939,,1066.0,,
352,,,Thailand,14.0,,5.0,,20210119,289939,,1066.0,,
353,,,South Korea,4.0,,,,20210119,289939,,1066.0,,
354,,,Singapore,7.0,,,,20210119,289939,,1066.0,,
355,,,Vietnam,2.0,,,,20210119,289939,,1066.0,,
356,,,Nepal,1.0,,,,20210119,289939,,1066.0,,
357,,,Malaysia,7.0,,,,20210119,289939,,1066.0,,
358,,Ontario,Canada,1.0,,,,20210119,289939,,1066.0,,
359,,British Columbia,Canada,1.0,,,,20210119,289939,,1066.0,,
360,,,Cambodia,1.0,,,,20210119,289939,,1066.0,,
361,,,Sri Lanka,1.0,,,,20210119,289939,,1066.0,,
362,,New South Wales,Australia,4.0,,,,20210119,289939,,1066.0,,
363,,Victoria,Australia,1.0,,,,20210119,289939,,1066.0,,
364,,Bavaria,Germany,4.0,,,,20210119,289939,,1066.0,,
365,,,Finland,1.0,,,,20210119,289939,,1066.0,,
366,,,United Arab Emirates,4.0,,,,20210119,289939,,1066.0,,
367,,Hubei,China,4903.0,162.0,90.0,,20210119,289939,,1066.0,,
368,,Zhejiang,China,428.0,,4.0,,20210119,289939,,1066.0,,
369,,Guangdong,China,354.0,,10.0,,20210119,289939,,1066.0,,
370,,He,China,278.0,2.0,2.0,,20210119,289939,,1066.0,,
371,,Hu,China,277.0,,2.0,,20210119,289939,,1066.0,,
372,,Anhui,China,200.0,,2.0,,20210119,289939,,1066.0,,
373,,Chongqing,China,182.0,,1.0,,20210119,289939,,1066.0,,
374,,Jiangxi,China,162.0,,5.0,,20210119,289939,,1066.0,,
375,,Shandong,China,158.0,,1.0,,20210119,289939,,1066.0,,
376,,Sichuan,China,142.0,1.0,1.0,,20210119,289939,,1066.0,,
377,,Jiangsu,China,129.0,,1.0,,20210119,289939,,1066.0,,
378,,Beijing,China,114.0,1.0,4.0,,20210119,289939,,1066.0,,
379,,Shanghai,China,112.0,1.0,5.0,,20210119,289939,,1066.0,,
380,,Fujian,China,101.0,,,,20210119,289939,,1066.0,,
381,,Guangxi,China,78.0,,2.0,,20210119,289939,,1066.0,,
382,,Yun,China,70.0,,,,20210119,289939,,1066.0,,
383,,Hebei,China,65.0,1.0,,,20210119,289939,,1066.0,,
384,,Shaanxi,China,63.0,,,,20210119,289939,,1066.0,,
385,,Hai,China,46.0,1.0,1.0,,20210119,289939,,1066.0,,
386,,Heilongjiang,China,44.0,2.0,,,20210119,289939,,1066.0,,
387,,Liaoning,China,41.0,,1.0,,20210119,289939,,1066.0,,
388,,Shanxi,China,35.0,,1.0,,20210119,289939,,1066.0,,
389,,Tianjin,China,31.0,,,,20210119,289939,,1066.0,,
390,,Gansu,China,26.0,,,,20210119,289939,,1066.0,,
391,,Inner Mongolia,China,19.0,,,,20210119,289939,,1066.0,,
392,,Ningxia,China,17.0,,,,20210119,289939,,1066.0,,
393,,Jilin,China,14.0,,1.0,,20210119,289939,,1066.0,,
394,,Xinjiang,China,14.0,,,,20210119,289939,,1066.0,,
395,,Guizhou,China,12.0,,1.0,,20210119,289939,,1066.0,,
396,,Hong Kong,Hong Kong,10.0,,,,20210119,289939,,1066.0,,
397,,Taiwan,Taiwan,9.0,,,,20210119,289939,,1066.0,,
398,,Qinghai,China,8.0,,,,20210119,289939,,1066.0,,
399,,Macau,Macau,7.0,,,,20210119,289939,,1066.0,,
400,,Tibet,China,1.0,,,,20210119,289939,,1066.0,,
401,,Washington,US,1.0,,,,20210119,289939,,1066.0,,
402,,Illinois,US,1.0,,,,20210119,289939,,1066.0,,
403,,California,US,2.0,,,,20210119,289939,,1066.0,,
404,,Arizona,US,1.0,,,,20210119,289939,,1066.0,,
405,,,Japan,11.0,,1.0,,20210119,289939,,1066.0,,
406,,,Thailand,14.0,,5.0,,20210119,289939,,1066.0,,
407,,,South Korea,4.0,,,,20210119,289939,,1066.0,,
408,,,Singapore,10.0,,,,20210119,289939,,1066.0,,
409,,,Vietnam,2.0,,,,20210119,289939,,1066.0,,
410,,,Nepal,1.0,,,,20210119,289939,,1066.0,,
411,,,Malaysia,8.0,,,,20210119,289939,,1066.0,,
412,,Ontario,Canada,2.0,,,,20210119,289939,,1066.0,,
413,,British Columbia,Canada,1.0,,,,20210119,289939,,1066.0,,
